1|KS D 8522|고순도 알루미나 분말 소재의 시험방법|2019-06-20|2019-0120|기계융합산업표준과|윤승환|
649|KS L ISO13099-3|콜로이달 시스템 ― 제타 전위 결정 방법 ― 제3부 ： 음향적 방법|2018-06-29|2018-0177|바이오화학서비스표준과|지민호|
650|KS L ISO13099-2|콜로이달 시스템 ― 제타 전위 결정 방법 ― 제2부：광학적 방법|2018-06-29|2018-0177|바이오화학서비스표준과|지민호|
651|KS L ISO13099-1|콜로이달 시스템 - 제타 전위 결정 방법 - 제1부 : 전기음향과 계면동전위 현상|2018-06-29|2018-0177|바이오화학서비스표준과|지민호|
652|KS L ISO1889|강화사 — 선밀도 시험방법|2018-12-20|2018-0521|바이오화학서비스표준과|지민호|
653|KS L ISO10618|탄소 섬유 — 수지 함침사의 인장특성 시험방법|2018-12-20|2018-0521|바이오화학서비스표준과|지민호|
654|KS L ISO13931|탄소섬유 — 체적 비저항의 측정방법|2018-12-20|2018-0521|바이오화학서비스표준과|지민호|
655|KS L ISO14704|파인 세라믹스 — 단일체 세라믹스의 실온 꺾임 강도 시험방법|2018-12-20|2018-0521|바이오화학서비스표준과|지민호|
656|KS L ISO14705|파인 세라믹스 — 단일체 세라믹스의 실온 경도 시험방법|2018-12-20|2018-0521|바이오화학서비스표준과|지민호|
657|KS L 0702|에어로젤 블랭킷 단열재|2020-12-31|2020-0600|바이오화학서비스표준과|박현영|
658|KS L ISO17168-1|파인 세라믹스 — 실내 광 환경에서 반도성 광촉매 재료의 공기 정화 성능 시험방법 — 제1부: 산화질소 제거|2020-12-30|2020-0559|바이오화학서비스표준과|지민호|
659|KS L ISO17168-2|파인 세라믹스 — 실내 광 환경에서 반도성 광촉매 재료의 공기 정화 성능 시험방법 — 제2부: 아세트알데하이드 제거|2020-12-30|2020-0559|바이오화학서비스표준과|지민호|
660|KS L ISO17168-3|파인 세라믹스 — 실내 광 환경에서 반도성 광촉매 재료의 공기 정화 성능 시험방법 — 제3부: 톨루엔 제거|2020-12-30|2020-0559|바이오화학서비스표준과|지민호|
661|KS L ISO17168-4|파인 세라믹스 — 실내 광 환경에서 반도성 광촉매 재료의 공기 정화 성능 시험방법 — 제4부: 폼알데하이드 제거|2020-12-30|2020-0559|바이오화학서비스표준과|지민호|
662|KS L ISO17168-5|파인 세라믹스 — 실내 광 환경에서 반도성 광촉매 재료의 공기 정화 성능 시험방법 — 제5부: 메틸메르캅탄 제거|2020-12-30|2020-0559|바이오화학서비스표준과|지민호|
663|KS L ISO18560-1|파인 세라믹스 — 실내 광 환경에서 시험 챔버 방법에 의한 반도성 광촉매 재료의 공기 정화 성능 시험방법 — 제1부: 폼알데하이드 제거|2020-12-30|2020-0559|바이오화학서비스표준과|지민호|
664|KS L ISO22197-2|파인 세라믹스 — 반도성 광촉매 재료의 공기 정화 성능 시험방법 — 제2부: 아세트알데하이드 제거|2020-12-30|2020-0559|바이오화학서비스표준과|지민호|
665|KS L ISO22197-3|파인 세라믹스 — 반도성 광촉매 재료의 공기 정화 성능 시험방법 — 제3부: 톨루엔 제거|2020-12-30|2020-0559|바이오화학서비스표준과|지민호|
666|KS L ISO22197-4|파인 세라믹스 — 반도성 광촉매 재료의 공기 정화 성능 시험방법 — 제4부: 폼알데하이드 제거|2020-12-30|2020-0559|바이오화학서비스표준과|지민호|
667|KS L ISO22197-5|파인 세라믹스 — 반도성 광촉매 재료의 공기 정화 성능 시험방법 — 제5부: 메틸메르캅탄 제거|2020-12-30|2020-0559|바이오화학서비스표준과|지민호|
668|KS L 3701|석면 안정화제의 성능 평가 방법|2020-12-30|2020-0559|바이오화학서비스표준과|지민호|
669|KS L 1630|전도성 파인세라믹스의 전기전도도 측정방법|2021-03-23|2021-0057|바이오화학서비스표준과|지민호|
670|KS L 1640|전류차단법에 의한 세라믹 기반 전기화학셀의 분극 측정방법|2021-03-23|2021-0057|바이오화학서비스표준과|지민호|
