1|KS A 0001|표준서의 서식 및 작성방법|2021-01-11|2021-0002|산업표준혁신과|고정하|
660|KS A ISO12789|기준 중성자 방사선－모의 작업장 중성자장의 발생 방법과 특징|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
661|KS A ISO12789-1|기준 중성자 방사선 - 모의 작업장 중성자장 - 1부 특성 및 생성방법|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
662|KS A ISO12789-2|기준 중성자 방사선 - 모의 작업장 중성자장 - 2부: 기초량에 연계된 교정원칙|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
663|KS A ISO12790-1|방사선방호 - 방사선 생체분석의 성능기준|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
664|KS A ISO12794|원자력에너지 - 방사선방호- 말단 및 눈에 대한 개인 열루미네센스 선량계|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
665|KS A ISO128-1|제도- 표현의 일반원칙 - 제1부: 소개 및 색인|2019-12-31|2019-0595|기계융합산업표준과|김민우|
666|KS A ISO128-21|제도 ― 표시의 일반 원칙 ― 제21부: CAD에 의한 선의 준비 (폐지)|2021-12-21|2021-0613|기계융합산업표준과|김민우|
667|KS A ISO128-22|제도 ― 표시의 일반 원칙 ― 제22부: 지시선과 기입선의 기본 규정 및 적용 (폐지)|2021-12-21|2021-0613|기계융합산업표준과|김민우|
668|KS A ISO128-24|제도 ― 표시의 일반 원칙 ― 제24부: 기계 제도에 사용하는 선 (폐지)|2021-12-21|2021-0613|기계융합산업표준과|김민우|
669|KS A ISO128-25|제도 ― 표시의 일반 원칙 ― 제25부: 조선 제도에 사용하는 선 (폐지)|2021-12-21|2021-0613|기계융합산업표준과|김민우|
670|KS A ISO128-30|제도 ― 표시의 일반 원칙 ― 제30부: 투상도에 대한 기본 규정|2019-12-31|2019-0595|기계융합산업표준과|김민우|
671|KS A ISO128-40|제도 ― 표시의 일반 원칙 ― 제40부: 절단과 단면에 대한 기본 규정|2019-12-31|2019-0595|기계융합산업표준과|김민우|
672|KS A ISO128-50|제도 ― 표시의 일반 원칙 ― 제50부: 절단 및 단면도 도시에 대한 기본 규정|2019-12-31|2019-0595|기계융합산업표준과|김민우|
673|KS A ISO12807|방사성 물질의 안전 운반 ― 운반물에 대한 누설 시험|2019-11-27|2019-0414|바이오화학서비스표준과|채송화|
674|KS A ISO1302|제품의 형상 명세(GPS) — 제품의 기술 문서에서 표면의 결에 대한 지시|2021-08-31|2021-0299|기계융합산업표준과|김민우|
675|KS A ISO13317-1|액상 중력 침강법에 의한 입자 크기 분포 결정 방법－제1부：일반 원리 및 지침|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
676|KS A ISO13317-2|액상 중력 침강법에 의한 입자 크기 분포 측정 방법－제2부：피펫법|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
677|KS A ISO13318-1|액상 원침 침강법에 의한 입자 크기 분포 결정 방법－제1부：일반 원리 및 지침|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
678|KS A ISO13318-2|액상 원심침강법에 의한 입자 크기 분포 측정방법－제2부：광 원심분리법|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
679|KS A ISO13320|입자크기 분석-레이저 회절법|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
680|KS A ISO13320-1|입자 크기 분석－레이저 회절법－제1부：일반 원리 (폐지)|2014-11-27|2014-0770|바이오화학서비스표준과|지민호|
681|KS A ISO13406-1|평면 패널 기반의 시각적 표시 장치 작업에서의 인간 공학적 요구 사항－제1부：도입 (폐지)|2016-12-28|2016-0569|바이오화학서비스표준과|지민호|
682|KS A ISO13406-2|평면 패널 기반 시각적 표시 장치 작업에서의 인간공학적 요구 사항－제2부：평면 패널 디스플레이를 위한 인간공학적 요구 사항 (폐지)|2016-12-28|2016-0569|바이오화학서비스표준과|지민호|
683|KS A ISO13407|대화형 시스템을 위한 인간 중심 설계 프로세스 (폐지)|2016-12-28|2016-0569|바이오화학서비스표준과|지민호|
684|KS A ISO13715|제품의 기술 문서 — 미정의 형상의 모서리 — 지시 및 치수기입|2018-10-31|2018-0403|기계융합산업표준과|김민우|
685|KS A ISO14041|환경경영 - 전과정 평가 - 목표 및 범위정의와 전과정 목록분석 (폐지)|2007-05-25|2007-0220|바이오화학서비스표준과|이상하|
686|KS A ISO14042|환경경영 - 전과정 평가 - 전과정 영향평가 (폐지)|2007-05-25|2007-0220|바이오화학서비스표준과|이상하|
687|KS A ISO14043|환경경영 - 전과정 평가 - 전과정 해석 (폐지)|2007-05-25|2007-0220|바이오화학서비스표준과|이상하|
688|KS A ISO14146|방사선 방호－X선과 감마 방사선용 개인 선량계 프로세서의 정기적인 평가 기준과 성능 한계|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
689|KS A ISO14152|중성자 방사선 방호 차폐 - 적절한 물질 선택을 위한 설계원칙 및 고려사항|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
690|KS A ISO14524|사진 ㅡ 전자식 정지 영상 카메라 ㅡ 광전 변환 함수 측정 방법(OECFs)|2021-10-25|2021-0486|바이오화학서비스표준과|박정은|
691|KS A ISO14738|기계 장치의 안전－기계 장치 작업장 설계의 인체 측정학적 요구 사항|2021-03-31|2021-0078|바이오화학서비스표준과|지민호|
692|KS A ISO14807|사진 ㅡ 투사식과 반사식 농도계 ㅡ 성능 측정 방법|2021-10-25|2021-0486|바이오화학서비스표준과|박정은|
693|KS A ISO14850-1|원자력에너지 - 폐기물의 방사선 측정 - 제1부: 개방형 구조의 일체형 고분해능 감마 분광법|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
694|KS A ISO14915-1|멀티미디어 사용자 인터페이스를 위한 소프트웨어 인강 공학－제1부：설계 원칙과 절차|2021-03-31|2021-0078|바이오화학서비스표준과|지민호|
695|KS A ISO14943|핵연료기술 핵임계 안전에 관한 행정 기준|2018-12-27|2018-0560|바이오화학서비스표준과|채송화|
696|KS A ISO1503|동작의 공간적 방위와 방향－인간공학적 요구사항|2021-09-30|2021-0422|바이오화학서비스표준과|지민호|
697|KS A ISO15080|핵시설 - 차폐 격실 환기 관통부|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
698|KS A ISO15226|제품의 기술 문서(TPD) — 수명 주기 모델 및 문서의 할당|2019-12-31|2019-0595|기계융합산업표준과|김민우|
699|KS A ISO15382|방사선 방호 — 눈 수정체, 피부 및 말단 선량 감시 절차|2021-09-29|2021-0424|바이오화학서비스표준과|채송화|
700|KS A ISO15534-1|기계 장치의 안전성을 위한 인간 공학적 설계－제1부：기계 장치 개방구의 전신 접근에 대한 치수 결정 원칙|2021-03-31|2021-0078|바이오화학서비스표준과|지민호|
701|KS A ISO15534-2|기계 장치의 안전성을 위한 인간 공학적 설계－제2부：개방구 치수 결정을 위한 원칙|2021-03-31|2021-0078|바이오화학서비스표준과|지민호|
702|KS A ISO15534-3|기계 장치의 안전성을 위한 인간 공학적 설계－제3부：인체 측정 자료|2021-03-31|2021-0078|바이오화학서비스표준과|지민호|
703|KS A ISO15535|인체 측정 데이터베이스 구축을 위한 일반적 요구 사항|2021-03-31|2021-0078|바이오화학서비스표준과|지민호|
704|KS A ISO15537|산업 및 제품 설계의 인체 측정학적 평가를 위한 피실험자의 선별과 운영에 대한 원칙|2021-03-31|2021-0078|바이오화학서비스표준과|지민호|
705|KS A ISO15739|사진-전자식 정지 영상 카메라-노이즈 측정|2018-11-20|2018-0435|바이오화학서비스표준과|박정은|
706|KS A ISO16016|제품의 기술적 문서(TPD) ― 문서와 제품의 사용 제한을 위한 보안 공지|2017-09-13|2017-0353|기계융합산업표준과|김민우|
707|KS A ISO16018|제도－수치 제어 제도 기계－벡터 플로터에 사용하는 제도 매체 및 용구 (폐지)|2013-08-06|2013-0328|기계융합산업표준과|김민우|
708|KS A ISO16067-1|사진 ─ 사진 영상을 위한 전자식 스캐너의 공간 해상도 측정 ─ 제1부: 반사식 스캐너|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
709|KS A ISO16067-2|사진 ─ 사진 영상을 위한 전자식 스캐너 ─ 공간 해상도 측정 ─ 제2부: 필름 스캐너|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
710|KS A ISO162|영화 기술－35mm 자기 필름에의 3, 4 또는 6트랙 녹음 및 이미지가 없는 17.5mm 자기 필름에의 1트랙 녹음과 헤드 간극－위치와 폭의 치수|2018-11-20|2018-0436|바이오화학서비스표준과|박정은|
711|KS A ISO16424|우라늄과 가돌리늄 측정에 의한 가돌리늄 연료 혼합물질내의 Gd 분포 균질성 평가 및 가돌리늄 소결체의 Gd₂O₃ 함량 측정법|2018-12-27|2018-0560|바이오화학서비스표준과|채송화|
712|KS A ISO1660|제품의 형상 명세(GPS) — 기하 공차 기입— 윤곽도 공차|2020-12-31|2020-0596|기계융합산업표준과|김민우|
713|KS A ISO16797|원자력에너지 ― 속슬렛방식 화학적 내구성 시험 ― 고준위 방사성 폐기물의 유리화 매트릭스의 적용|2021-09-29|2021-0424|바이오화학서비스표준과|채송화|
714|KS A ISO1700|영화 기술 ㅡ 8 mm S 타입 영화용 생필름 ㅡ 커팅 및 퍼포레이션 치수|2021-10-25|2021-0486|바이오화학서비스표준과|박정은|
715|KS A ISO1709|원자력에너지 - 핵분열성 물질 - 저장, 취급 및 처리시의 임계 안전 원칙|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
716|KS A ISO17121|영화 기술 — 영화 및 비디오 작업실 — 시청각 요구 조건|2018-03-14|2018-0057|바이오화학서비스표준과|박정은|
717|KS A ISO17266|영화 기술－35 mm 영화 상영용 프린트와 네거티브 필름의 아날로그 및 디지털 광학 녹음과 제어 신호 녹음, 70 mm 영화 상영용 프린트와 네거티브 필름의 디지털 음향－제어 신호의 녹음－위치 및 폭의 치수|2018-11-20|2018-0435|바이오화학서비스표준과|박정은|
718|KS A ISO17332|영화 기술 — 35 mm 영화용 컬러 프린트 필름의 이미지 인식 정보|2017-12-06|2017-0571|바이오화학서비스표준과|박정은|
719|KS A ISO1754|카메라에 사용되는 35 mm 필름 및 롤 필름의 치수|2017-12-06|2017-0571|바이오화학서비스표준과|박정은|
720|KS A ISO1755|사진－프로젝터 슬라이드－치수|2018-11-20|2018-0436|바이오화학서비스표준과|박정은|
721|KS A ISO17873|원자력 시설 - 원자력 시설용 환기계통의 설계 및 운전 기준(원자로 제외)|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
722|KS A ISO17874-1|방사성 물질 취급용 원격조작장치 ― 제1부: 일반 요건|2019-11-27|2019-0414|바이오화학서비스표준과|채송화|
723|KS A ISO1793|영화 기술 ― 16 mm 영사기용 릴(최대 18 cm 크기에 용량 120 m까지) ― 치수|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
724|KS A ISO18055-1|사진술과 이미징 ㅡ 잉크젯 매체：분류, 명칭, 치수 ㅡ 제1부： 사진 출력용 매체(종이 및 필름)|2021-10-25|2021-0486|바이오화학서비스표준과|박정은|
725|KS A ISO18213-1|핵연료기술 - 핵물질 계량관리를 위한 탱크 교정 및 부피 결정 - 제1부: 절차서 개요|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
726|KS A ISO18213-2|핵연료기술 - 핵물질 계량관리를 위한 탱크 교정 및 부피 결정 - 제2부: 탱크 교정에 대한 데이터 표준화|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
727|KS A ISO18589-1|환경방사능 측정 - 토양 - 제 1부: 일반 지침 및 정의|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
728|KS A ISO18589-2|환경방사능 측정 — 토양 — 제2부: 시료채취 전략, 시료채취 및 전처리 지침|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
729|KS A ISO18589-3|환경 방사능 측정 - 토양 - 제3부: 감마 방출 방사성 핵종 측정|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
730|KS A ISO18589-4|환경방사능 측정 - 토양 제4부: 알파분광분석법을 이용한 플루토늄 동위원소(Pu238, Pu239+240) 측정|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
731|KS A ISO18589-5|환경방사능 측정 - 토양 - 제5부 : 스트론튬 90 측정|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
732|KS A ISO18589-6|환경방사능 측정 - 토양 - 제6부: 전알파 및 전베타 방사능 측정|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
733|KS A ISO18901|이미징 재료 ─ 현상된 은 젤라틴 흑백 필름 ─ 안정성을 위한 규정|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
734|KS A ISO18902|이미징 재료-현상된 사진 필름, 판 및 인화지-파일링 보관 재료와 보관 컨테이너|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
735|KS A ISO18903|사진 영상 재료 — 사진 필름 및 인화지의 치수 변화 측정 방법|2017-12-06|2017-0571|바이오화학서비스표준과|박정은|
736|KS A ISO18910|이미징 재료 ─ 사진 필름 및 인화지 ─ 컬의 측정|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
737|KS A ISO18913|이미징 재료 ─ 내구성 ─ 용어|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
738|KS A ISO18921|이미징 재료 ㅡ 콤팩트 디스크(CD-ROM) ㅡ 온도와 상대 습도에 의한 기대 수명 평가 방법|2021-10-25|2021-0486|바이오화학서비스표준과|박정은|
739|KS A ISO18922|이미지 재료 — 현상된 사진필름 — 스크래치에 대한 내구성 결정|2017-12-06|2017-0571|바이오화학서비스표준과|박정은|
740|KS A ISO18923|이미지 재료 — 폴리에스테르 지지체 자기 테이프 — 보관 규정|2017-12-06|2017-0571|바이오화학서비스표준과|박정은|
741|KS A ISO18924|이미징 재료 ─ 아레니우스 타입 예측을 위한 시험방법|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
742|KS A ISO18925|이미징 재료 — 광디스크 매체 — 이미징 재료 — 광디스크 매체 —|2021-10-25|2021-0486|바이오화학서비스표준과|박정은|
743|KS A ISO18927|이미징 재료 — 기록 가능한 콤팩트디스크 시스템 — 온도와 상대습도에 의한 기대수명 평가 방법|2021-10-25|2021-0486|바이오화학서비스표준과|박정은|
744|KS A ISO18928|이미지 재료 — 현상되지 않은 사진 필름과 인화지 — 보관 규정|2017-12-06|2017-0571|바이오화학서비스표준과|박정은|
745|KS A ISO18929|이미지 재료 — 습식 은-젤라틴 타입 흑백사진용 반사 인화물 — 암실 보관을 위한 명세서|2017-12-06|2017-0571|바이오화학서비스표준과|박정은|
746|KS A ISO18932|이미지 재료 ㅡ 접착 고정법 ㅡ 세부내용|2021-10-25|2021-0486|바이오화학서비스표준과|박정은|
747|KS A ISO18935|이미지 재료 — 컬러 이미지 — 프린트 된 컬러 이미지의 내수성 측정|2019-12-30|2019-0556|바이오화학서비스표준과|박정은|
748|KS A ISO20282-1|일상 제품 조작 편의성－제1부：사용 상황과 사용자 특성을 위한 설계 요구사항|2021-09-30|2021-0422|바이오화학서비스표준과|지민호|
749|KS A ISO20282-2|일상 제품의 조작 편의성─ 제2부: 대중 제품의 시험 방법|2021-03-31|2021-0078|바이오화학서비스표준과|지민호|
750|KS A ISO20282-3|일상 제품의 조작 편의성 - 제3부: 소비자 제품의 시험 방법 (폐지)|2016-12-28|2016-0569|바이오화학서비스표준과|지민호|
751|KS A ISO20282-4|일상 제품의 조작 편의성 제4부: 소비자 제품 설치에 대한 시험 방법 (폐지)|2016-12-28|2016-0569|바이오화학서비스표준과|지민호|
752|KS A ISO20462-1|사진 — 화질 평가를 위한 정신물리학적 실험 방법 — 제1부: 정신물리학 요소들에 대한 총람|2017-12-06|2017-0571|바이오화학서비스표준과|박정은|
753|KS A ISO20462-2|사진 — 화질 평가를 위한 정신물리학적 실험 방법 — 제2부: 삼자 비교법|2017-12-06|2017-0571|바이오화학서비스표준과|박정은|
754|KS A ISO20462-3|사진 — 화질 평가를 위한 정신물리학적 실험 방법 — 제3부: 품질 측정 방법|2017-12-06|2017-0571|바이오화학서비스표준과|박정은|
755|KS A ISO20553|방사선 방호 ― 방사성 물질의 내부 오염 위험에 노출된 작업자의 감시|2019-11-27|2019-0414|바이오화학서비스표준과|채송화|
756|KS A ISO20859|영화기술 ― 35mm 필름의 아날로그 사운드 트랙에 필요한 광학 음향 재생기의 주파수 응답|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
757|KS A ISO21238|원자력에너지 - 핵연료기술 - 원자력발전소에서 발생한 중∙저준위 방사성 폐기물 꾸러미의 방사능 결정 척도인자법|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
758|KS A ISO21482|전리방사선 경고 - 보조 기호|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
759|KS A ISO21500|프로젝트관리 지침|2018-11-12|2018-0425|바이오화학서비스표준과|정권호|
760|KS A ISO21550|사진 ─ 사진 영상을 위한 전자식 스캐너 ─ 다이내믹 레인지 측정 방법|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
761|KS A ISO21727|영화 기술 — 영화 음향의 인지음량 측정법|2018-03-14|2018-0057|바이오화학서비스표준과|박정은|
762|KS A ISO21909|수동 중성자 선량계측시스템 — 제1장: 개인 선량측정에 대한 성능 및 시험 요건|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
763|KS A ISO22028-1|사진과 그래픽 기술 — 디지털 이미지의 저장, 조작, 상호교환을 위해 확장된 컬러 인코딩 — 제1부: 구조와 조건|2021-10-25|2021-0486|바이오화학서비스표준과|박정은|
764|KS A ISO22188|방사성 물질의 부적절한 이동 및 불법 거래에 대한 감시|2019-11-27|2019-0414|바이오화학서비스표준과|채송화|
765|KS A ISO22234|영화 기술 ㅡ 영화 다중 채널 음향 시스템의 상대적, 절대적 음압 ㅡ 측정 방법과 레벨|2021-10-25|2021-0486|바이오화학서비스표준과|박정은|
766|KS A ISO22300|사회안전 ─ 용어|2017-12-29|2017-0691|바이오화학서비스표준과|정권호|
767|KS A ISO22301|사회안전 - 비즈니스연속성 관리시스템 - 요구사항|2018-11-12|2018-0425|바이오화학서비스표준과|정권호|
768|KS A ISO22320|사회안전 - 긴급사태관리 - 사고대응의 요구사항|2019-11-27|2019-0405|바이오화학서비스표준과|정권호|
769|KS A ISO2240|컬러 반전 카메라 필름의 ISO 속도 측정 방법|2017-12-06|2017-0571|바이오화학서비스표준과|박정은|
770|KS A ISO23|영화 기술－영화용 35 mm 필름 카메라의 특성 및 시방|2018-11-20|2018-0436|바이오화학서비스표준과|박정은|
771|KS A ISO2404|영화 기술－70 mm 스트라이프드 릴리즈 프린트의 6트랙 자기 사운드 녹음－위치 및 치수|2018-11-20|2018-0436|바이오화학서비스표준과|박정은|
772|KS A ISO24500|소비자 제품을 위한 인간공학 - 접근성 설계 - 청각신호|2019-11-14|2019-0364|바이오화학서비스표준과|지민호|
773|KS A ISO24501|소비자 제품을 위한 인간공학 - 접근성 설계 - 청각 신호의 음압 수준 해설|2019-11-14|2019-0364|바이오화학서비스표준과|지민호|
774|KS A ISO24502|소비자 제품을 위한 인간공학 - 접근성 설계 - 연령별 휘도 대비 시방서 해설|2019-11-14|2019-0364|바이오화학서비스표준과|지민호|
775|KS A ISO24503|소비자 제품을 위한 인간공학 - 접근성 설계 - 촉각점 및 막대해설|2019-11-14|2019-0364|바이오화학서비스표준과|지민호|
776|KS A ISO2467|영화 기술 ― 65 mm 영화용 카메라 애퍼처에서의 이미지 영역과 70 mm 영화 프린트의 최대 영사 가능 이미지 영역 ― 위치와 치수|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
777|KS A ISO25|영화 기술－영화용 16 mm 필름 카메라의 특성 및 시방|2018-11-20|2018-0436|바이오화학서비스표준과|박정은|
778|KS A ISO26|영화 기술－직접 전면 영사식 16 mm 필름 영사기의 특성 및 시방|2018-11-20|2018-0436|바이오화학서비스표준과|박정은|
779|KS A ISO26000|사회적책임에 대한 지침|2021-06-28|2021-0159|바이오화학서비스표준과|정권호|
780|KS A ISO26428-1|디지털시네마(D-Cinema) ― 디지털 배급마스터 ― part: 1 이미지 특성|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
781|KS A ISO26428-11|디지털 시네마 (D-시네마) 배급 마스터 - 제 11부: 추가 프레임율|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
782|KS A ISO26428-19|디지털 시네마 (D-시네마) 배급 마스터 ㅡ 제 19부: 추가 프레임율 레벨 AFR2 및 레벨 AFR4를 위한 직렬 디지털 인터페이스 신호 포맷팅|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
783|KS A ISO26428-2|디지털 시네마 (D-시네마) 배급 마스터 ㅡ 제2부: 오디오 특성|2021-10-25|2021-0486|바이오화학서비스표준과|박정은|
784|KS A ISO26428-3|디지털시네마(D-시네마) 배급마스터 - Part 3: 오디오 채널 매핑과 채널 라벨링|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
785|KS A ISO26428-9|디지털시네마 (D-시네마) 배급마스터 ㅡ 제9부: 이미지 픽셀 구조 레벨 3 직렬 디지털 인터페이스 신호 포맷팅|2021-10-25|2021-0486|바이오화학서비스표준과|박정은|
786|KS A ISO26429-10|디지털 시네마 (D-시네마) 패키징 ㅡ 제10부: 입체영화 트랙 파일|2021-10-25|2021-0486|바이오화학서비스표준과|박정은|
787|KS A ISO26429-3|디지털시네마(D-시네마) 패키징 ― Part 3: 사운드와 영상의 트랙 파일|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
788|KS A ISO26429-4|디지털시네마(D-시네마) 패키징 ― Part 4: MXF JPEG 2000|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
789|KS A ISO26429-6|디지털시네마(D-시네마) 패키징 - Part 6: MXF 트랙 파일 에센스 암호화|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
790|KS A ISO26429-7|디지털시네마 (D-시네마) 패키징 ㅡ 제7부: 컴포지션 플레이 리스트|2021-10-25|2021-0486|바이오화학서비스표준과|박정은|
791|KS A ISO26429-8|디지털시네마 (D-시네마) 패키징 ㅡ 제8부: 패킹 리스트|2021-10-25|2021-0486|바이오화학서비스표준과|박정은|
792|KS A ISO26429-9|디지털 시네마 (D-시네마) 패키징 ㅡ 제9부: 자산 매핑 및 파일 분할|2021-10-25|2021-0486|바이오화학서비스표준과|박정은|
793|KS A ISO26430-1|디지털시네마(D-시네마) - Part 1: 키 전달 메시지|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
794|KS A ISO26430-2|디지털시네마(D-시네마) 운영 - Part 2: 디지털 인증서|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
795|KS A ISO26430-3|디지털 시네마 (D-시네마) 운용 ㅡ 제3부: 범용 극장 외부 메시지 포맷|2021-10-25|2021-0486|바이오화학서비스표준과|박정은|
796|KS A ISO26430-4|디지털 시네마(D-시네마) 운영 — 제4부: 로그 레코드 포맷 명세서|2017-12-06|2017-0571|바이오화학서비스표준과|박정은|
797|KS A ISO26430-5|디지털 시네마(D-시네마) 운영 — 제5부: 보안 로그 이벤트 클래스 및 제한 사항|2017-12-06|2017-0571|바이오화학서비스표준과|박정은|
798|KS A ISO26430-6|디지털 시네마(D-시네마) 운영 — 제6부: 극장 내부 통신을 위한 상영관 보안 메시지|2017-12-06|2017-0571|바이오화학서비스표준과|박정은|
799|KS A ISO26430-9|디지털 시네마(D-시네마) 운영 — 제9부: 키 전달 번들|2017-12-06|2017-0571|바이오화학서비스표준과|박정은|
800|KS A ISO26431-1|디지털 시네마(D-시네마) 품질 — 제1부: 스크린 휘도 레벨, 색도 및 균일도|2017-12-06|2017-0571|바이오화학서비스표준과|박정은|
801|KS A ISO26432-2|디지털 소스 처리 — 제2부: 디지털 시네마(D-시네마) LFE(저주파 효과)|2017-12-06|2017-0571|바이오화학서비스표준과|박정은|
802|KS A ISO26433|디지털 시네마(D-시네마) — XML 자료 유형|2017-12-06|2017-0571|바이오화학서비스표준과|박정은|
803|KS A ISO2720|사진 기술 — 범용 사진 촬영 노출계(광전자형) — 제품 표준 지침|2017-12-06|2017-0571|바이오화학서비스표준과|박정은|
804|KS A ISO2721|사진 기술 ─ 필름카메라 ─ 노출 자동 제어|2018-11-20|2018-0436|바이오화학서비스표준과|박정은|
805|KS A ISO27467|핵임계 안전 - 가상 임계사고 해석|2022-07-11|2022-0157|바이오화학서비스표준과|채송화|
806|KS A ISO28|영화기술 ㅡ 8 mm R 타입 영화의 카메라 사용법 ㅡ 규정|2021-10-25|2021-0486|바이오화학서비스표준과|박정은|
807|KS A ISO28001|공급사슬 보안경영시스템 ─ 공급사슬의 보안, 평가 및 계획의 실행을 위한 모범관행 － 요구사항 및 지침|2017-12-29|2017-0691|바이오화학서비스표준과|정권호|
808|KS A ISO28003|공급사슬 보안경영시스템 ─ 공급사슬 보안경영시스템 심사 및 인증을 제공하는 기관에 대한 요구사항|2017-12-29|2017-0691|바이오화학서비스표준과|정권호|
809|KS A ISO28004|공급사슬 보안경영시스템 － ISO 28000 실행지침 (폐지)|2013-10-07|2013-0510|기계융합산업표준과|강민구|
810|KS A ISO2827|사진 기술－전자식 플래시 장비－광 출력과 성능의 결정 방법|2018-11-20|2018-0436|바이오화학서비스표준과|박정은|
811|KS A ISO2854|데이터의 통계적 해석 방법 ─ 평균 및 분산의 검정방법과 추정방법|2018-10-31|2018-0402|기계융합산업표준과|김낙현|
812|KS A ISO2855|방사성물질 ― 운반용기 ― 내용물 누출 및 방사선 누출에 대한 시험|2019-11-27|2019-0414|바이오화학서비스표준과|채송화|
813|KS A ISO2859-0|계수값 검사에 대한 샘플링검사 절차-제0부:KS A ISO 2859 샘플링검사 시스템 서론 (폐지)|2009-01-02|2008-0851|기계융합산업표준과|양승배|
814|KS A ISO2889|원자력시설의 스택과 덕트로부터 공기중 방사능 물질의 시료채취|2019-11-27|2019-0414|바이오화학서비스표준과|채송화|
815|KS A ISO29|영화기술 - 8 mm R 타입 무성영화의 전면직접영사방식에서의 영사기 사용법 - 규정 (폐지)|2009-10-23|2009-0648|바이오화학서비스표준과|박정은|
816|KS A ISO2906|영화 기술－35 mm 영화용 카메라 애퍼처에서의 이미지 영역－위치와 치수|2018-11-20|2018-0436|바이오화학서비스표준과|박정은|
817|KS A ISO2907|영화 기술 ― 35 mm 영화용 필름의 최대 영사 가능 이미지 영역 ― 위치와 치수|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
818|KS A ISO2910|영화 기술 ─ 필름 영화의 영사 스크린 휘도와 색도|2018-11-20|2018-0435|바이오화학서비스표준과|박정은|
819|KS A ISO2919|방사선 방호 ― 밀봉 방사성 선원 ― 일반요건 및 분류|2019-11-27|2019-0414|바이오화학서비스표준과|채송화|
820|KS A ISO2939|영화 기술 — 35 mm 영화 상영용 프린트의 이미지 영역 — 위치와 치수|2018-03-14|2018-0057|바이오화학서비스표준과|박정은|
821|KS A ISO2966|영화기술 - 16 mm 필름에서의 8 mm 타잎 S(1-3)과 (1-4) - 커팅과 퍼포래이팅 치수 (폐지)|2009-10-23|2009-0648|바이오화학서비스표준과|박정은|
822|KS A ISO2969|영화 기술 — 영사실과 영화관의 B체인 주파수 응답 특성 — 규격과 측정|2018-03-14|2018-0057|바이오화학서비스표준과|박정은|
823|KS A ISO3022|영화 기술－16 mm(1－3－0)로 퍼포레이트된 35 mm 영화－커팅과 퍼포레이팅 치수|2018-11-20|2018-0436|바이오화학서비스표준과|박정은|
824|KS A ISO3023|영화 기술－65 mm와 70 mm 영화용 생필름－커팅 및 퍼포레이팅 치수|2018-11-20|2018-0436|바이오화학서비스표준과|박정은|
825|KS A ISO3028|사진 — 카메라 플래시 휘도 — ISO 분광 분포 지수(ISO/SDI)|2017-12-06|2017-0571|바이오화학서비스표준과|박정은|
